"";"PK_CAD";"TIPO_CLI";"TIPO_FAB";"TIPO_FOR";"TIPO_TRA";"TIPO_SERV";"TIPO_OUT";"RAZAO_SOCIAL";"FANTASIA";"CNPJ";"CPF";"INSC_EST";"INSC_MUM";"ENDERECO";"BAIRRO";"FK_CID";"CEP";"ENDE_COB";"BAIRRO_COB";"FK_CID_COB";"CEP_COB";"FONE1";"FONE2";"FAX";"HOMEPAGE";"FK_RAM";"LIMCREDITO";"OBSERVACAO";"FK_CADTRA";"FK_CPG";"TIPO_FRETE";"CREDITO_BLOQUEADO";"INATIVO";"FK_CPGREP";"FK_CADTRAREP";"TIPO_FRETE_REP";"CONS_INDUSTRIA";"DATA_CAD";"FK_USUCAD";"DATA_CAP_SOCIAL";"VLR_CAP_SOCIAL";"QTD_PROTESTOS";"QTD_CHQ_DEVOL";"OBSERV_CRED";"CONCEITO_CRED";"CONTATO_BANCO";"PER_ANA_CRED";"DT_ULT_AVALIACAO";"MATERIAL_COMPRA";"PERC_MAT_ESTOQUE";"PERC_MAT_ESPECIAL";"MOTIVO_RECADASTRO";"VAL_SOLIC_COMPRA";"FK_TPG";"DT_LIBFIN";"FK_USULIB";"AUDITVENDA";"ISENTOICMS";"MESESPRECO";"ISUF";"MALADIRETA";"FK_NAT";"OBS_LEGAL";"OBS_VENDA";"DDENTREGA";"FK_USUAVAL";"BLOQFATIPI";"SIMPLES";"SEMCOMPRA";"SEMCPR12";"IPI_PRIM";"CREDBLOQ";"FK_CAD_NOVO";"GERA_IPI";"DTRECCAD";"DTSOLCOMPL";"DTRECCOMPL";"DTTERMPROC";"AC_BLOQ";"AC_DEP";"FK_BCOCOB";"NAOAGRUPABLQ";"IMPRIME_FAB_ETIQ";"IMPRIME_DATAFAB_ETIQ";"FK_SUB";"FATUR_MINIMO";"MARKUP_MAODEOBRA";"MARKUP_MATPRIMA";"INTEGRACAO_XML";"REGIME_TRIBUTARIO";"INDUSTRIA_REVENDA";"TOLERANCIA_ANTECIPACAO";"TOLERANCIA_ATRASO";"NAOCONTRIBUINTE";"DIA_SEMANA_MRP";"OBS_PADRAO_OC";"REAJUSTE_LME";"REAJUSTE_DOLAR";"PERC_GATILHO";"REAJUSTE_CUSTO";"FREQUENCIA";"OBSERVACAO_REAJUSTE";"PLACA_PADRAO";"PLACA_PADRAO_UF";"TIPO_REAJUSTE_CABOS";"TIPO_REAJUSTE_OUTROS";"PERC_QTD_NFR_OC";"OBRIGAR_NFSE";"INCOTERM";"BANK_INFORMATION";"INVOICE_PAGTO_ANTECIP";"FK_MOE";"PRAZO_PAGAMENTO_PADRAO";"FOLLOWUP_AUTOMATICO";"CONSIDERA_PV_FLUXO_CAIXA";"DIA_SEMANA_VENCTO";"DIA_MES_VENCTO1";"DIA_MES_VENCTO2";"DIA_MES_VENCTO3";"FK_MAQ_PREFERENCIAL";"FK_NATCONSUMO"
10;27.0;" ";"S";"S";" ";" ";" ";"PHOENIX CONTACT IND E COM LTDA";"PHOENIX CONTACT";"68.404.912/0001-62";"";"113.659.559.112";"";"RUA FRASCISCO CORAZZA, 20 A 100 (ESQUINA";"PARQUE RESIDENCIAL DA LAPA";36.0;"05038130";"";"";"";"";"11-3871.6401";"";"";"";1.0;0.0;"ITAU
AG: 7648
C/C: 06817-4
CNPJ: 68.404.912/0001-62";"";3.0;"C";" ";" ";"";"";"C";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";83.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"I";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
11;28.0;" ";"S";"S";" ";" ";" ";"MARGIRIUS CONTINENTAL IND CONT ELET LTD";"MAR-GIRIUS";"61.093.001/0001-12";"";"555.006.032.112";"";"AV VICENTE ZINI, 665";"VILA NOVA";114.0;"13660000";"";"";"";"";"(19) 3589 5000";"08007073282";"19-35811212";"";1.0;1000.0;"+ fones:0xx19 3589.5000    3589.5005";585.0;21.0;"F";" ";" ";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";83.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";3;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
12;33.0;"N";"S";"S";" ";" ";" ";"CRIMPER DO BRASIL TERM E CONEC ELET LTDA";"CRIMPER";"46.976.924/0001-29";"";"244196826110";"";"RUA FCO. CEARA BARBOSA, 490";"CAMPO DOS AMARAIS";101.0;"13082030";"RUA FCO. CEARA BARBOSA, 490";"CAMPO DOS AMARAIS";101.0;"13082030";"0800.772.1777";"";"";"www.crimper.com.br";1.0;1000.0;"BANCO ITAU
AG.: 0009
C/C: 96904-9
CNPJ:46.976.924/0001-29
FINANCEIRO:
LÉIA: (019) 3246-1722";585.0;2.0;"F";"N";" ";2.0;460.0;"F";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;3.0;"";"";"N";"N";0.0;"";"N";83.0;"";"";0.0;"";"N";"N";"S";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";81.0;"";"";"";"N";"";"I";3;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
13;1898.0;"N";"N";"S";"N";"N";"N";"CGL - CASA DAS GAXETAS IND E COM LTDA";"CGL - CASA DAS GAXETAS";"88.934.724/0001-53";"";"086/0542850";"";"AV. CEARÁ, N° 572";"SÃO JOÃO";1.0;"90240510";"AV. CEARÁ, N° 572";"SÃO JOÃO";1.0;"90240510";"(54) 3222-1744";"";"";"";"";"";"Banco Bradesco – Agência 7192 –  Conta: 0036067-8  – POA/RS Banco do Brasil – Agência 0367-0 - Farrapos  Conta: 053078-6 – POA/RS Banrisul – Agência 0070 - Conta: 0601532706";993.0;2.0;"F";"N";"N";"";"";"F";"";"2018-01-03 14:18:00.962";161.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"R";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
14;41.0;" ";" ";"S";" ";" ";" ";"FABESUL COMERCIO DE SUPRIMENTOS LTDA";"FABESUL";"89.054.050/0001-65";"";"096/0758062";"";"RUA JULIO KOWALSKI, 225";"JARDIM SAO PEDRO";1.0;"91040380";"RUA JULIO KOWALSKI, 225";"JARDIM SAO PEDRO";1.0;"91040380";"51-33578000";"";"(51) 33748001";"www.fabesul.com.br";2.0;0.0;"E-mail: fabesul@fabesul.com.br

fiscal@fabesul.com.br
devolucaors@fabesul.com.br
devolucaocliente@fabesul.com.br";2.0;2.0;"C";" ";" ";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;2.0;"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;1.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
15;53.0;" ";"S";"S";" ";" ";" ";"BRULUZ COMERCIO E REPRESENTACOES LTDA";"BRULUZ";"97.484.463/0001-08";"";"058/0072614";"";"AV. B1, 345";"MORADAS DA COLINA";10.0;"92500000";"";"";"";"";"51 3480.2518";"51-34803939";"51-34803939";"";2.0;0.0;"BANRISUL
AG: 0219
C/C: 06.023.398.0-2

alan 3480-3939";2.0;2.0;"C";" ";" ";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
16;2090.0;"N";"N";"S";"N";"S";"S";"ELEVATO MATERIAIS DE CONSTRUCAO E DECORACAO LTDA";"ELEVATO";"87.305.850/0012-39";"";"";"";"RUA CARVALHO MONTEIRO, 307";"PETROPOLIS";1.0;"90470100";"RUA CARVALHO MONTEIRO, 307";"PETROPOLIS";1.0;"90470100";"(51) 3361-1688";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"";"";"2018-08-13 10:52:07.804";236.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
17;2256.0;"N";"N";"S";"N";"S";"S";"PALACIO DAS FERRAMENTAS E PARAFUSOS LTDA";"PALACIO DAS FERRAMENTAS";"68.422.419/0001-75";"";"310.171.097.117";"";"AV SANTOS DUMONT, Nº 1100";"SANTOS DUMONT";220.0;"";"";"";"";"";"(16) 2104-9666";"(16) 3722-1047";"";"";"";"";"";"";"";"";"N";"N";"";"";"";"";"2019-06-28 13:01:20.087";207.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
18;105.0;" ";"S";"S";" ";" ";" ";"TRAMAR INDUSTRIA LTDA";"TRAMAR";"47.454.467/0001-75";"";"233.004.327.110";"";"RODOVIA SP - 312 - KM. 79";"BARRINHA";142.0;"13315000";"";"";"";"";"(11) 4528-6000";"(011) 4528-4421";"11-4528-4566";"";1.0;2000.0;"(51) 3209.2898";585.0;20.0;"F";" ";" ";"";585.0;" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";83.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";80.0;"";"";"";"N";"";"";3;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";10.0;"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
19;116.0;" ";"S";"S";" ";" ";" ";"C.M. DE SA";"COSTUREIRA";"93.992.980/0001-37";"";"058/0079368";"";"RUA E, 25";"RAMADA";10.0;"";"";"";"";"";"(51) 3480.2892";"";"";"";1.0;0.0;"BANRISULAG.: 0219C/C: 06.0394060-7CNPJ: 93.992.980/0001-37OU SANTANDERAG.: 1103CC: 13000055-1CNPJ.: 93.992.980/0001-37";"";"";" ";" ";" ";"";"";" ";" ";"2003-08-04 00:00:00.000";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;"";"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"N";"";"";"";"";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
